"","sequence_ID","sample_ID","sequencing_ID","sample_type","organism_water","number","time_point","date","lake","elevation_m","temp_C","chla_ug.L","pH","DO_perc","spc","cond","DOC","TDN","TDP","phy_group","elev.cat","read.sum"
"90","189_16S","34_Z22","MP_108_16S","Zooplankton","Calanoid",123,"1","2022-06-29","Cooney",3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28,"copepoda","Above",20109
"91","190_16S","87_Z","MP_110_16S","Zooplankton","Bosmina",50,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"cladocera","Below",226
"92","191_16S","118_Z","MP_111_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"cladocera","Above",135
"93","192_16S","19_Z22","MP_112_16S","Zooplankton","Bosmina",50,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"cladocera","Above",22928
"94","193_16S","33_Z22","MP_113_16S","Zooplankton","Daphnia",100,"1","2022-06-29","Cooney",3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28,"cladocera","Above",5364
"95","194_16S","3_Z","MP_114_16S","Zooplankton","Daphnia",30,"2","2022-07-06","Eastern Brook",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"cladocera","Above",1783
"96","195_16S","67_Z","MP_115_16S","Zooplankton","Daphnia",30,"3","2022-07-21","Virginia",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"cladocera","Above",1218
"97","196_16S","59_Z22","MP_116_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Blue",3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.6,"cladocera","Above",9547
"98","197_16S","106_Z","MP_117_16S","Zooplankton","Calanoid",50,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"copepoda","Above",3797
"99","198_16S","22_Z","MP_118_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Blue",3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54,"cladocera","Above",17292
"100","199_16S","97_Z","MP_119_16S","Zooplankton","Calanoid",50,"3","2022-07-21","Cooney",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"copepoda","Above",4096
"101","200_16S","112_Z","MP_121_16S","Zooplankton","Calanoid",50,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"copepoda","Above",2281
"102","201_16S","101_Z","MP_122_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"cladocera","Above",3006
"103","202_16S","8_Z22","MP_123_16S","Zooplankton","Daphnia",20,"1","2022-06-25","Convict",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"cladocera","Below",1569
"104","203_16S","98_Z","MP_124_16S","Zooplankton","Calanoid",50,"3","2022-07-21","Cooney",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"copepoda","Above",1306
"105","204_16S","9_Z22","MP_125_16S","Zooplankton","Daphnia",20,"1","2022-06-25","Convict",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"cladocera","Below",1337
"106","205_16S","117_Z","MP_126_16S","Zooplankton","Daphnia",30,"3","2022-07-22","Serene",3124,19.7,1.12,8.36,71.9,18.5,16.6,3.1,302.75,48.61,"cladocera","Above",1941
"107","206_16S","41_Z","MP_127_16S","Zooplankton","Daphnia",30,"2","2022-07-09","Cooney",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"cladocera","Above",1100
"108","207_16S","110_Z","MP_128_16S","Zooplankton","Cyclopoid",50,"3","2022-07-22","Eastern Brook",3155,18.9,1.05,8.56,74.2,21,18.5,3.45,202.99,101.86,"copepoda","Above",1772
