"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV9536","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","Oligoflexaceae",NA,NA
"ASV9537","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae",NA,NA
"ASV9538","Bacteria","Proteobacteria","Gammaproteobacteria","CCD24",NA,NA,NA
"ASV9539","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9543","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA
"ASV9544","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae",NA,NA
"ASV9545","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,NA
"ASV9547","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9548","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae",NA,NA
"ASV9549","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9552","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9553","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9554","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","Leptolyngbya ANT.L52.2",NA
"ASV9555","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9559","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA
"ASV9561","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9562","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9568","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9570","Archaea","Thermoplasmatota","Thermoplasmata",NA,NA,NA,NA
"ASV9571","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Verruc-01",NA
"ASV9576","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9578","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9579","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV9580","Bacteria","Proteobacteria",NA,NA,NA,NA,NA
"ASV9592","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
